Incident ID,Description,Category,Priority,Timestamp,Location,Reporter Role
IT-00001,Laptop screen not turning on.,Hardware Failures,Critical,2024-04-29 04:00:00,Remote,IT Staff
IT-00002,Printer showing paper jam error.,Hardware Failures,Critical,2024-10-27 12:00:00,Branch Office,Manager
IT-00003,Laptop screen not turning on.,Hardware Failures,Critical,2024-12-30 16:00:00,Branch Office,IT Staff
IT-00004,Permission denied error for accessing shared drive.,Data Access Issues,Medium,2024-01-30 14:00:00,Remote,Manager
IT-00005,Application crashes when clicking 'Submit'.,Software Bugs,Low,2024-02-01 14:00:00,Remote,IT Staff
IT-00006,Access denied error despite correct credentials.,Login/Authentication Issues,Medium,2024-06-02 23:00:00,HQ,Employee
IT-00007,Misconfigured firewall blocking traffic.,Configuration Errors,High,2024-01-23 03:00:00,Remote,Manager
IT-00008,The CRM system is freezing frequently.,Software Bugs,Medium,2024-02-07 21:00:00,Remote,Employee
IT-00009,File not found in the document repository.,Data Access Issues,Medium,2024-05-28 11:00:00,Branch Office,IT Staff
IT-00010,Application crashes when clicking 'Submit'.,Software Bugs,High,2024-08-16 06:00:00,HQ,Manager
IT-00011,Incorrect DNS settings causing issues.,Configuration Errors,Low,2024-11-29 01:00:00,Remote,Employee
IT-00012,Error 500 displayed on the portal.,Software Bugs,Critical,2024-11-22 08:00:00,HQ,Employee
IT-00013,Antivirus flagged malware on the server.,Security Incidents,Low,2024-04-19 07:00:00,HQ,Manager
IT-00014,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Low,2024-02-29 05:00:00,HQ,Employee
IT-00015,Frequent disconnections in VPN.,Network Issues,Low,2024-09-07 01:00:00,Branch Office,Employee
IT-00016,Incorrect DNS settings causing issues.,Configuration Errors,Medium,2024-12-11 21:00:00,Branch Office,Employee
IT-00017,Hard drive making unusual noises.,Hardware Failures,Critical,2024-09-08 15:00:00,Remote,Manager
IT-00018,Hard drive making unusual noises.,Hardware Failures,Critical,2024-11-07 14:00:00,Remote,Manager
IT-00019,Cannot retrieve records from the database.,Data Access Issues,Medium,2024-05-04 19:00:00,Branch Office,IT Staff
IT-00020,File not found in the document repository.,Data Access Issues,Critical,2024-08-10 10:00:00,Branch Office,Employee
IT-00021,Printer showing paper jam error.,Hardware Failures,Low,2024-12-28 17:00:00,Remote,Employee
IT-00022,Website takes over 30 seconds to load.,Performance Degradation,Critical,2024-08-10 05:00:00,Branch Office,IT Staff
IT-00023,The internet is down in the main office.,Network Issues,High,2024-07-24 06:00:00,Branch Office,Employee
IT-00024,The CRM system is freezing frequently.,Software Bugs,Low,2024-10-18 04:00:00,Branch Office,IT Staff
IT-00025,Two-factor authentication code not received.,Login/Authentication Issues,High,2024-02-21 13:00:00,Remote,Employee
IT-00026,Laptop screen not turning on.,Hardware Failures,High,2024-10-24 03:00:00,Branch Office,IT Staff
IT-00027,The internet is down in the main office.,Network Issues,High,2024-02-07 08:00:00,Branch Office,Employee
IT-00028,File not found in the document repository.,Data Access Issues,Critical,2024-10-04 13:00:00,Branch Office,IT Staff
IT-00029,The CRM system is freezing frequently.,Software Bugs,Medium,2024-02-10 05:00:00,HQ,Manager
IT-00030,Hard drive making unusual noises.,Hardware Failures,High,2024-01-14 20:00:00,HQ,Employee
IT-00031,Antivirus flagged malware on the server.,Security Incidents,Low,2024-10-09 03:00:00,HQ,IT Staff
IT-00032,Permission denied error for accessing shared drive.,Data Access Issues,High,2024-01-18 00:00:00,HQ,Employee
IT-00033,Printer showing paper jam error.,Hardware Failures,Medium,2024-04-11 02:00:00,Branch Office,Manager
IT-00034,Website takes over 30 seconds to load.,Performance Degradation,Critical,2024-08-24 02:00:00,Remote,Manager
IT-00035,The CRM system is freezing frequently.,Software Bugs,High,2024-07-19 15:00:00,Remote,Manager
IT-00036,Cannot retrieve records from the database.,Data Access Issues,Low,2024-07-16 04:00:00,Remote,Employee
IT-00037,Printer showing paper jam error.,Hardware Failures,High,2024-06-05 08:00:00,Remote,Employee
IT-00038,Database queries are timing out.,Performance Degradation,Critical,2024-09-16 11:00:00,Remote,Employee
IT-00039,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,High,2024-12-23 09:00:00,HQ,Manager
IT-00040,The internet is down in the main office.,Network Issues,Medium,2024-01-24 18:00:00,Remote,IT Staff
IT-00041,Laptop screen not turning on.,Hardware Failures,Medium,2024-09-10 07:00:00,HQ,IT Staff
IT-00042,Cannot retrieve records from the database.,Data Access Issues,Low,2024-02-13 12:00:00,HQ,IT Staff
IT-00043,Access denied error despite correct credentials.,Login/Authentication Issues,Low,2024-09-24 22:00:00,HQ,Manager
IT-00044,Printer showing paper jam error.,Hardware Failures,Low,2024-01-28 09:00:00,Remote,Manager
IT-00045,Access denied error despite correct credentials.,Login/Authentication Issues,High,2024-06-06 02:00:00,HQ,Employee
IT-00046,The CRM system is freezing frequently.,Software Bugs,High,2024-09-02 06:00:00,HQ,IT Staff
IT-00047,Website takes over 30 seconds to load.,Performance Degradation,Low,2024-01-14 23:00:00,Remote,IT Staff
IT-00048,The CRM system is freezing frequently.,Software Bugs,Low,2024-09-21 14:00:00,Branch Office,Employee
IT-00049,Unable to log in to the system after password reset.,Login/Authentication Issues,Critical,2024-11-18 06:00:00,Remote,Employee
IT-00050,The CRM system is freezing frequently.,Software Bugs,Critical,2024-08-31 00:00:00,Branch Office,IT Staff
IT-00051,Email server configuration mismatch.,Configuration Errors,Critical,2024-10-21 23:00:00,Remote,Manager
IT-00052,The internet is down in the main office.,Network Issues,Low,2024-11-20 17:00:00,Branch Office,IT Staff
IT-00053,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Medium,2024-03-01 04:00:00,Remote,IT Staff
IT-00054,Printer showing paper jam error.,Hardware Failures,Low,2024-09-12 02:00:00,Remote,IT Staff
IT-00055,Hard drive making unusual noises.,Hardware Failures,High,2024-02-28 13:00:00,Remote,IT Staff
IT-00056,Error 500 displayed on the portal.,Software Bugs,Medium,2024-06-28 08:00:00,Remote,Employee
IT-00057,Application crashes when clicking 'Submit'.,Software Bugs,Medium,2024-07-06 05:00:00,Remote,IT Staff
IT-00058,Error 500 displayed on the portal.,Software Bugs,Low,2024-11-28 12:00:00,Branch Office,Employee
IT-00059,Two-factor authentication code not received.,Login/Authentication Issues,Medium,2024-09-08 11:00:00,HQ,Manager
IT-00060,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,High,2024-01-24 08:00:00,HQ,IT Staff
IT-00061,Two-factor authentication code not received.,Login/Authentication Issues,High,2024-01-05 12:00:00,Remote,Employee
IT-00062,Website takes over 30 seconds to load.,Performance Degradation,Critical,2024-11-06 18:00:00,Remote,Manager
IT-00063,Misconfigured firewall blocking traffic.,Configuration Errors,Critical,2024-06-27 13:00:00,Branch Office,Manager
IT-00064,Permission denied error for accessing shared drive.,Data Access Issues,High,2024-02-10 13:00:00,Branch Office,Employee
IT-00065,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Critical,2024-12-04 03:00:00,Remote,Employee
IT-00066,Printer showing paper jam error.,Hardware Failures,Medium,2024-02-17 14:00:00,Branch Office,IT Staff
IT-00067,Detected unauthorized login attempt.,Security Incidents,Critical,2024-10-27 08:00:00,Remote,Employee
IT-00068,Website takes over 30 seconds to load.,Performance Degradation,Critical,2024-06-30 19:00:00,HQ,IT Staff
IT-00069,Misconfigured firewall blocking traffic.,Configuration Errors,Critical,2024-03-20 02:00:00,HQ,Employee
IT-00070,Detected unauthorized login attempt.,Security Incidents,Medium,2024-01-08 18:00:00,HQ,Employee
IT-00071,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Critical,2024-05-16 03:00:00,Branch Office,Manager
IT-00072,File not found in the document repository.,Data Access Issues,Critical,2024-08-24 21:00:00,Remote,Employee
IT-00073,Incorrect DNS settings causing issues.,Configuration Errors,Low,2024-03-15 01:00:00,Branch Office,Employee
IT-00074,Hard drive making unusual noises.,Hardware Failures,Low,2024-05-03 07:00:00,Branch Office,IT Staff
IT-00075,Laptop screen not turning on.,Hardware Failures,Low,2024-02-17 06:00:00,Remote,Manager
IT-00076,File not found in the document repository.,Data Access Issues,Critical,2024-09-07 00:00:00,Remote,Manager
IT-00077,Printer showing paper jam error.,Hardware Failures,High,2024-11-13 06:00:00,Remote,Employee
IT-00078,Error 500 displayed on the portal.,Software Bugs,Medium,2024-09-24 08:00:00,Branch Office,Employee
IT-00079,Email server configuration mismatch.,Configuration Errors,Medium,2024-11-12 04:00:00,Remote,Manager
IT-00080,Error 500 displayed on the portal.,Software Bugs,Low,2024-01-20 02:00:00,Branch Office,Employee
IT-00081,Error 500 displayed on the portal.,Software Bugs,High,2024-08-21 07:00:00,HQ,Manager
IT-00082,Two-factor authentication code not received.,Login/Authentication Issues,Medium,2024-11-08 09:00:00,Branch Office,Employee
IT-00083,Database queries are timing out.,Performance Degradation,Critical,2024-07-20 12:00:00,HQ,Manager
IT-00084,Printer showing paper jam error.,Hardware Failures,High,2024-11-08 17:00:00,HQ,IT Staff
